fid,block_num,multigeom
1087,0985,F
1088,0986,F
1089,0987,F
1090,0988,F
1091,0989,F
1092,0990,F
1093,1003,F
1094,0991,F
1095,0992,F
1096,0993,F
1097,0994,F
1098,0995,F
1099,0996,F
1100,0997,F
1101,0998,F
1102,0999,F
1103,1000,F
1104,1001,F
1105,1002,F
1106,1004,F
1107,1005,F
1108,8719,F
1109,1006,F
1110,1007,F
1111,1008,F
1112,1009,F
1113,1010,F
1114,1011,F
1115,1012,F
1116,1013,F
1117,1014,F
1118,3910,F
1119,1015,F
1120,1016,F
1121,1017,F
1122,1018,F
1123,1019,F
1124,1020,F
1125,1021,F
1126,1022,F
1127,1023,F
1128,1024,F
1129,1025,F
1130,1026,F
1131,1027,F
1132,3911,F
1133,5507,F
1134,1028,F
1135,1029,F
1136,1030,F
1137,1031,F
1138,1032,T
1139,3912,F
1140,1032,T
1141,1039,F
1142,5508,F
1143,1034,F
1144,1035,F
1145,1040,F
1146,8721,F
1147,1065,F
1148,1148,F
1149,1036,F
1150,1037,F
1151,1038,F
1152,1149,F
1153,1041,F
1154,1047,F
1155,1048,F
1156,3913,F
1157,1042,F
1158,1049,F
1159,1050,F
1160,1043,F
1161,1051,F
1162,1052,F
1163,1053,F
1164,1054,F
1165,1055,F
1166,1044,F
1167,1081,F
1168,1082,F
1169,1045,F
1170,1046,F
1171,1083,F
1172,1084,F
1173,1057,F
1174,1150,F
1175,3742,F
1176,1058,F
1177,1061,F
1178,1062,F
1179,1063,F
1180,1064,F
1181,1151,F
1182,1235,F
1183,1066,F
1184,1067,F
1185,1068,F
1186,1152,F
1187,1069,F
1188,1070,F
1189,1071,F
1190,3754,T
1191,1072,F
1192,1073,F
1193,1074,F
1194,1075,F
1195,1076,F
1196,1077,F
1197,1078,F
1198,1079,T
1199,1079,T
1200,1080,F
1201,3914,F
1202,1085,F
1203,1086,F
1204,1087,F
1205,1088,F
1206,1089,F
1207,1090,F
1208,1091,F
1209,1092,F
1210,1153,F
1211,1154,T
1212,3915,F
1213,1094,F
1214,1098,F
1215,1099,F
1216,1100,T
1217,1095,F
1218,1100,T
1219,1101,F
1220,1102,F
1221,1154,T
1222,1155,F
1223,1103,F
1224,1104,F
1225,1714,T
1226,1105,F
1227,1107,F
1228,1111,F
1229,3916,F
1230,1108,F
1231,1109,F
1232,1714,T
1233,1110,F
1234,8722,T
1235,3917,F
1236,1112,F
1237,8722,T
1238,8723,T
1239,8723,T
1240,3918,F
1241,1113,F
1242,1156,F
1243,3919,F
1244,1114,F
1245,8724,F
1246,3754,T
1247,1115,F
1248,1157,F
1249,1236,F
1250,1116,F
1251,1158,F
1252,1248,F
1253,1117,F
1254,1118,F
1255,1138,F
1256,1169,T
1257,1119,F
1258,1125,F
1259,1126,F
1260,1127,F
1261,1128,F
1262,1129,F
1263,1130,F
1264,1143,F
1265,1144,F
1266,3754,T
1267,1131,F
1268,1135,F
1269,1132,F
1270,1145,F
1271,1145A,F
1272,1146,F
1273,4502A,F
1274,1133,F
1275,1136,F
1276,1249,F
1277,1134,F
1278,1137,F
1279,1147,F
1280,4570,F
1281,4571,F
1282,1139,F
1283,1140,F
1284,1140A,F
1285,1141,F
1286,1142,F
1287,2418,F
1288,1159,F
1289,1160,F
1290,1161,F
1291,1162,F
1292,1163,F
1293,1170,F
1294,1173,T
1295,1173,T
1296,1173,T
1297,1174,T
1298,1174,T
1299,1175,F
1300,1176,F
1301,1285,F
1302,1166,F
1303,1167,F
1304,1168,F
1305,1169,T
1306,1177,F
1307,1178,F
1308,1179,F
1309,1180,F
1310,1181,F
1311,1182,F
1312,1183,F
1313,1184,F
1314,1185,F
1315,1186,F
1316,1187,F
1317,1188,F
1318,1189,F
1319,1190,F
1320,1191,F
1321,1193,F
1322,1194,F
1323,1195,F
1324,1196,F
1325,1197,F
1326,1198,F
1327,1199,F
1328,1200,F
1329,3754,T
1330,1201,F
1331,1202,F
1332,1203,F
1333,1204,F
1334,1205,F
1335,1206,F
1336,1207,F
1337,1208,F
1338,1209,F
1339,1210,F
1340,1211,F
1341,3760,T
1342,1212,F
1343,1213,F
1344,1214,F
1345,1215,F
1346,1216,F
1347,1217,F
1348,1218,F
1349,1219,F
1350,1220,F
1351,1221,F
1352,1222,F
1353,1223,F
1354,3761,T
1355,1224,F
1356,1225,F
1357,1226,F
1358,1227,F
1359,1228,F
1360,1229,F
1361,1230,F
1362,1231,F
1363,1232,F
1364,1233,F
1365,1234,F
1366,3761,T
1367,1237,F
1368,1238,F
1369,1239,F
1370,1240,F
1371,1241,F
1372,1242,F
1373,1243,F
1374,1244,F
1375,1245,F
1376,1246,F
1377,1247,F
1378,3762,T
1379,1250,F
1380,1251,F
1381,1252,F
1382,1253,F
1383,1254,T
1384,1254,T
1385,1255,T
1386,1255,T
1387,1256,F
1388,1257,F
1389,1258,F
1390,1259,F
1391,1260,T
1392,1260,T
1393,1260,T
1394,1261,F
1395,1262,F
1396,1263,F
1397,1264,F
1398,1265,T
1399,1265,T
1400,1265A,F
1401,3762,T
1402,1266,F
1403,1267,F
1404,1268,F
1405,1269,T
1406,1269,T
1407,1270,T
1408,1270,T
1409,5509,F
1410,1271,F
1411,1272,F
1412,1273,F
1413,1274,F
1414,1275,F
1415,1275A,F
1416,1276,F
1417,1277,F
1418,1278,F
1419,1279,F
1420,1280,F
1421,1281,F
1422,1282,F
1423,1283,F
1424,1284,F
1425,3920,F
1426,1286,F
1427,1287,F
1428,1288,F
1429,1289,F
1430,1290,F
1431,1291,F
1432,1292,F
1433,1754,F
1434,1293,F
1435,1294,F
1436,1300,F
1437,1301,F
1438,1302,F
1439,1304,F
1440,1339,F
1441,1303,F
1442,1306,F
1443,1755,F
1444,1305,T
1445,1305,T
1446,1352,F
1447,1307,T
1448,1307,T
1449,1312,T
1450,1340,F
1451,1308,F
1452,1756,F
1453,1757,F
1454,1309,T
1455,1309,T
1456,1347,F
1457,1348,F
1458,1349,F
1459,1312,T
1460,1313,F
1461,1337,F
1462,1350,F
1463,3921A,F
1464,1326,F
1465,1351,F
1466,9900,T
1467,1327,F
1468,1329,F
1469,9900,T
1470,1328,F
1471,1338,F
1472,3922A,F
1473,1330,F
1474,1336,F
1475,3952,F
1476,3953,F
1477,1331,F
1478,1332,F
1479,1333,F
1480,1334,F
1481,1335,F
1482,1341,F
1483,1342,F
1484,1343,F
1485,1344,F
1486,1345,T
1487,1345,T
1488,1346,F
1489,1353,F
1490,1354,F
1491,1355,F
1492,1361,T
1493,1361,T
1494,1362,T
1495,1362,T
1496,1363,T
1497,1363,T
1498,1364,T
1499,1364,T
1500,1365,T
1501,1365,T
1502,1366,F
1503,1367,F
1504,1368,F
1505,1369,F
1506,1370,F
1507,1371,F
1508,1372,F
1509,1373,T
1510,1373,T
1511,3954,F
1512,1374,F
1513,1375,F
1514,1376,F
1515,1377,F
1516,1378,F
1517,1379,F
1518,1380,F
1519,1381,F
1520,3955,F
1521,1382,F
1522,1383,F
1523,1384,F
1524,1385,F
1525,1386,F
1526,1387,F
1527,1405,F
1528,1388,F
1529,1389,F
1530,1390,F
1531,1391,F
1532,1392,F
1533,1406,F
1534,1401,T
1535,1401,T
1536,1402,F
1537,1403,F
1538,1404,F
1539,1440,F
1540,1407,F
1541,1408,F
1542,1409,F
1543,1410,F
1544,1411,F
1545,1412,F
1546,1413,F
1547,1414,F
1548,1441,F
1549,1415,F
1550,1416,F
1551,1417,F
1552,1418,F
1553,1419,F
1554,1420,T
1555,1420,T
1556,1421,F
1557,1422,F
1558,3956,F
1559,3957,F
1560,1423,F
1561,1424,F
1562,1425,F
1563,1426,F
1564,1427,F
1565,1428,F
1566,1429,F
1567,1430,F
1568,1450,F
1569,1431,F
1570,1432,F
1571,1433,F
1572,1434,F
1573,1435,F
1574,1436,F
1575,1437,F
1576,1438,F
1577,1439,F
1578,3958,F
1579,1442,F
1580,1443,F
1581,1444,F
1582,1445,T
1583,1445,T
1584,1446,F
1585,1447,F
1586,1448,F
1587,1449,F
1588,3959,F
1589,3960,F
1590,1451,F
1591,1452,F
1592,1453,F
1593,1454,F
1594,1455,F
1595,1456,F
1596,1457,F
1597,1458,F
1598,1459,F
1599,1460,F
1600,1461,F
1601,1462,F
1602,1463,F
1603,1464,F
1604,1465,F
1605,1466,F
1606,1467,F
1607,1470,F
1608,3961,F
1609,1468,T
1610,1468,T
1611,1469,T
1612,1469,T
1613,1469A,T
1614,1469A,T
1615,2019,F
1616,1471,F
1617,1472,F
1618,1473,F
1619,1474,F
1620,1475,F
1621,1476,F
1622,1481,F
1623,3962,F
1624,3963,F
1625,1482,F
1626,8803,F
1627,8804,F
1628,8811,F
1629,8812,F
1630,9900,T
1631,1483,F
1632,9900,T
1633,9900,T
1634,9900,T
1635,9900,T
1636,PARK,T
1637,PARK,T
1638,5306,T
1639,PARK,T
1640,PARK,T
1641,1497,F
1642,4139,F
1643,PARK,T
1644,PARK,T
1645,VACST,T
1646,VACST,T
1647,VACST,T
1648,1574,F
1649,4140,F
1650,PARK,T
1651,PARK,T
1652,PARK,T
1653,VACST,T
1654,1722,F
1655,PARK,T
1656,PARK,T
1657,PARK,T
1658,1493,F
1659,1494,F
1660,3965,F
1661,PARK,T
1662,PARK,T
1663,VACST,T
1664,VACST,T
1665,VACST,T
1666,VACST,T
1667,VACST,T
1668,VACST,T
1669,3966,F
1670,3967,F
1671,1484,F
1672,1488,F
1673,1489,F
1674,1490,F
1675,1491,F
1676,1492,F
1677,1498,F
1678,1499,F
1679,1500,F
1680,1501,F
1681,1502,F
1682,1503,F
1683,1504,F
1684,1505,F
1685,3968,F
1686,1506,F
1687,1507,F
1688,1508,F
1689,1509,F
1690,1510,F
1691,1511,F
1692,1512,F
1693,1515,F
1694,3969,F
1695,1516,F
1696,1517,F
1697,1518,F
1698,1519,F
1699,1520,F
1700,1521,F
1701,1522,F
1702,1523,F
1703,3970,F
1704,3971,F
1705,1524,F
1706,1525,F
1707,1526,F
1708,1527,F
1709,1528,F
1710,1529,F
1711,1530,F
1712,1531,T
1713,1531,T
1714,1532,F
1715,1533,F
1716,1534,F
1717,1535,F
1718,1536,F
1719,1537,F
1720,1538,F
1721,1539,F
1722,1540,F
1723,1541,F
1724,1731,F
1725,1542,F
1726,1543,F
1727,1544,F
1728,1545,F
1729,1546,F
1730,1547,F
1731,1548,F
1732,1549,F
1733,3973,F
1734,1550,F
1735,1551,F
1736,1552,F
1737,1553,F
1738,1554,F
1739,1555,F
1740,1556,T
1741,1556,T
1742,1557,F
1743,1609,F
1744,1558,F
1745,1559,F
1746,1560,F
1747,1561,F
1748,1562,F
1749,1563,F
1750,1564,F
1751,1650,F
1752,1565,F
1753,1566,F
1754,1567,F
1755,1568,F
1756,1569,F
1757,1570,F
1758,1571,F
1759,1572,F
1760,1575,F
1761,1576,F
1762,1577,F
1763,1578,F
1764,1579,F
1765,1580,F
1766,1581,F
1767,1582,F
1768,4572,F
1769,1583,F
1770,1584,F
1771,1585,F
1772,1586,F
1773,1587,F
1774,1588,F
1775,1589,F
1776,1590,F
1777,1591,F
1778,1752,F
1779,1592,F
1780,1593,F
1781,1594,F
1782,1595,F
1783,1596,F
1784,1597,F
1785,1598,F
1786,1599,F
1787,1600,F
1788,4579,F
1789,1601,F
1790,1602,F
1791,1603,F
1792,1604,F
1793,1605,F
1794,1606,F
1795,1607,F
1796,1608,F
1797,4621,F
1798,1610,F
1799,1611,F
1800,1612,F
1801,1613,F
1802,1614,F
1803,1615,F
1804,1616,F
1805,1617,F
1806,1618,F
1807,1619,F
1808,1620,F
1809,1621,F
1810,1622,F
1811,1623,F
1812,1624,F
1813,1625,F
1814,1626,F
1815,1627,F
1816,1628,F
1817,1629,F
1818,1630,F
1819,1631,T
1820,1631,T
1821,1632,F
1822,1658,F
1823,1633,F
1824,1634,F
1825,1635,F
1826,1636,F
1827,1637,F
1828,1638,F
1829,1639,F
1830,1640,F
1831,1641,F
1832,1642,F
1833,1643,F
1834,1644,F
1835,1645,F
1836,1646,F
1837,1647,F
1838,1648,F
1839,1649,F
1840,5230,F
1841,1651,F
1842,1652,F
1843,1653,F
1844,1654,F
1845,1655,F
1846,1656,T
1847,1656,T
1848,1657,F
1849,4622,F
1850,1659,F
1851,1660,F
1852,1661,F
1853,1662,F
1854,1663,F
1855,1664,F
1856,1665,F
1857,1666,F
1858,1667,F
